,s2orc_id,mineralogy,pcr,genes,omics,sequencing,chromatography,spectrometry,microscopy_staining,microbiology,blots,electrophoresis,core
0,378075,-,-,['16S (2)'],-,-,-,-,-,-,-,-,['salinity (2)']
1,423291,-,-,-,-,-,-,-,-,-,-,-,-
2,609893,-,-,-,-,-,-,-,-,-,-,-,-
3,818482,-,['PCR (1)'],"['nifH (8)', '16S (2)', 'mcrA (2)']",-,-,-,-,-,-,-,-,-
4,1587067,-,-,-,-,-,-,-,-,['SIP (1)'],-,-,-
5,2118101,-,-,['16S (1)'],-,-,['GC (1)'],-,-,-,-,-,-
6,2216104,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
7,2449122,-,-,-,-,-,-,-,-,-,-,-,-
8,2829093,-,-,-,-,-,-,-,-,-,-,-,['salinity (3)']
9,3128887,-,-,"['16S (4)', 'mcrA (1)', 'pmoA (1)']",-,-,-,-,-,-,-,-,-
10,3261826,-,-,-,-,-,-,-,-,-,-,-,-
11,4395526,-,-,-,-,-,-,-,-,-,-,-,-
12,4430700,-,-,-,-,-,-,-,-,-,-,-,-
13,4773405,-,-,-,-,-,-,['Raman (1)'],-,-,-,-,-
14,4841270,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
15,4984670,-,-,-,-,-,-,-,-,-,-,-,-
16,5665855,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
17,6153701,-,-,-,-,-,-,-,-,-,-,-,-
18,6384919,-,-,-,-,-,-,-,-,-,-,-,-
19,7097552,-,-,-,-,-,-,-,['FISH (1)'],-,-,-,['salinity (2)']
20,7907279,-,-,-,-,-,-,-,-,-,-,-,-
21,8249528,-,-,-,-,-,-,-,-,-,-,-,-
22,8819857,-,-,['16S (2)'],-,-,-,-,-,-,-,-,-
23,9277299,-,-,-,-,-,-,-,-,-,-,-,-
24,9307972,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
25,9382611,-,-,['16S (2)'],-,-,-,-,-,-,-,-,-
26,9590844,-,-,-,-,-,-,-,-,-,-,-,-
27,10052410,-,-,-,-,-,-,-,-,-,-,-,['pH (2)']
28,10441501,-,-,['16S (2)'],-,-,-,-,-,-,-,-,['pH (1)']
29,10758220,-,-,-,-,-,-,-,-,-,-,-,-
30,10785502,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
31,12345051,-,-,-,-,-,-,-,-,-,-,-,-
32,12428390,-,-,-,-,-,-,-,-,-,-,-,-
33,12594595,-,-,['16S (1)'],-,-,-,-,-,-,-,-,['pH (1)']
34,13303128,-,-,-,-,-,-,-,-,-,-,-,-
35,13438555,-,-,"['16S (1)', 'mcrA (2)']",-,-,-,-,-,-,-,-,-
36,14173406,-,-,-,-,-,-,-,-,-,-,-,-
37,14369402,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
38,14583627,-,-,-,-,-,-,-,-,-,-,-,-
39,14676493,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
40,14982203,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
41,15514304,-,-,-,-,-,-,-,-,-,-,-,['pH (1)']
42,16773456,-,-,-,-,-,-,-,-,-,-,-,-
43,16888850,-,-,-,-,-,['GC (1)'],-,-,-,-,-,-
44,17208459,-,-,-,-,-,-,-,-,-,-,-,-
45,18110353,-,-,-,-,-,-,-,-,-,-,-,-
46,19286940,-,-,-,-,-,-,-,-,-,-,-,-
47,19304315,-,-,-,-,-,-,-,-,-,-,-,-
48,19394643,-,-,-,-,-,-,-,-,-,-,-,-
49,19646536,-,-,-,-,-,-,-,-,-,-,-,-
50,20023799,-,-,"['16S (1)', 'mcrA (1)', 'aprA (1)', 'nifH (3)']",-,-,-,-,['FISH-NanoSIMS (2)'],-,-,-,-
51,20382895,-,-,-,-,-,-,-,-,-,-,-,-
52,20561520,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
53,20646286,-,-,"['mcrA (4)', '16S (3)']",-,-,-,-,-,-,-,-,-
54,20677516,-,-,-,-,-,-,-,-,-,-,-,-
55,21490211,-,['PCR (1)'],['16S (1)'],-,-,-,-,['CARD-FISH (2)'],-,-,-,-
56,21653548,-,-,-,-,-,-,-,-,-,-,-,-
57,22078593,-,-,-,-,-,-,-,-,-,-,-,-
58,22414992,-,-,-,-,-,-,-,-,-,-,-,-
59,23169780,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
60,23583751,-,-,-,-,-,-,-,-,-,-,-,-
61,24236881,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
62,24389953,-,-,-,-,-,-,-,-,-,-,-,['salinity (1)']
63,24825330,-,-,['16S (2)'],-,-,-,-,-,-,-,-,-
64,24860900,-,-,['16S (1)'],-,-,-,-,-,-,-,-,['pH (2)']
65,24969095,-,-,['16S (2)'],-,-,-,-,-,-,-,-,-
66,25275226,-,-,-,-,-,-,-,['SEM (1)'],-,-,-,['pH (4)']
67,25312939,-,-,-,-,-,-,-,-,-,-,-,-
68,25374479,-,-,['16S (1)'],-,-,-,-,-,-,-,-,['pH (1)']
69,25614269,-,-,['16S (4)'],-,-,-,-,-,-,-,-,-
70,25787557,-,-,['16S (2)'],-,-,-,-,-,-,-,-,-
71,26654892,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
72,26732615,-,-,-,-,-,-,-,-,-,-,-,-
73,28363766,-,-,-,-,-,-,-,['fish (4)'],-,-,-,-
74,31297440,-,-,"['16S (1)', 'aprA (1)']",-,-,-,-,-,-,-,-,-
75,31592443,-,-,"['16S (1)', 'mcrA (1)']",-,-,-,-,-,-,-,-,-
76,31721641,-,-,-,-,-,-,-,-,-,-,-,-
77,33653187,-,-,-,-,-,-,-,-,-,-,-,-
78,33792127,-,-,-,-,-,-,-,-,-,-,-,-
79,34107345,-,-,-,-,-,-,-,-,-,-,-,-
80,34539523,-,-,['16S (2)'],-,-,-,-,-,-,-,-,-
81,34712783,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
82,35116371,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
83,38728909,-,-,['16S (2)'],-,-,-,-,-,-,-,-,-
84,40404753,-,-,-,-,-,-,-,"['SEM (1)', 'TEM (1)']",-,-,-,['pH (1)']
85,42717529,-,-,-,-,-,-,-,-,-,-,-,-
86,45978787,-,-,['16S (2)'],-,-,-,-,-,-,-,-,-
87,46131370,-,-,-,-,-,-,-,-,-,-,-,-
88,46855510,-,-,-,-,-,-,-,-,-,-,-,-
89,49214293,-,-,-,-,-,-,-,-,-,-,-,-
90,52112134,-,-,-,-,-,-,-,-,-,-,-,-
91,52131258,-,-,-,-,-,-,-,-,-,-,-,-
92,53183928,-,-,-,-,-,['GC (1)'],-,-,-,-,-,-
93,91812618,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
94,195185567,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
95,204849492,-,-,['16S (1)'],-,-,-,-,-,-,-,-,['pH (2)']
96,205788630,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
97,205982792,-,-,-,-,-,-,-,-,-,-,-,-
98,206164693,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
99,206723511,-,-,['mcrA (1)'],-,-,-,-,-,-,-,-,-
100,207696802,-,-,-,-,-,-,-,-,-,-,-,-
101,207963124,-,-,['16S (2)'],-,-,-,-,-,-,-,-,['pH (2)']
102,208279838,-,-,['16S (1)'],-,-,-,-,-,-,-,-,-
103,209474384,-,-,-,-,-,-,-,-,-,-,-,-
104,210195508,-,-,-,-,-,-,-,-,-,-,-,-
105,210914727,-,-,-,['metabarcoding (1)'],-,['GC-MS (1)'],-,-,-,-,-,-
