,s2orc_id,phylum,class,order,family,genus,species
0,378075,-,-,-,-,-,-
1,423291,-,-,-,-,-,-
2,609893,-,-,-,-,-,-
3,818482,-,-,-,-,['Methanosarcina (1)'],-
4,1587067,-,-,-,-,-,-
5,2118101,-,-,-,-,-,-
6,2216104,-,-,-,-,-,-
7,2449122,-,-,-,-,-,-
8,2829093,-,-,-,-,-,-
9,3128887,-,-,-,-,"['Methanococcoides (1)', 'Methanosarcina (1)']",-
10,3261826,-,-,-,-,-,-
11,4395526,-,-,-,-,-,-
12,4430700,-,-,-,-,-,-
13,4773405,-,-,-,-,-,-
14,4841270,-,-,-,-,-,-
15,4984670,-,-,-,-,-,-
16,5665855,-,-,-,-,-,-
17,6153701,-,-,-,-,-,-
18,6384919,-,-,-,-,-,-
19,7097552,-,-,-,-,-,-
20,7907279,-,-,-,-,-,-
21,8249528,-,-,-,-,-,-
22,8819857,-,-,-,-,-,-
23,9277299,-,-,-,-,['Methanoculleus (1)'],-
24,9307972,"['Euryarchaeota (1)', 'Crenarchaeota (1)']",-,"['Methanosarcinales (1)', 'Halobacteriales (1)']",-,-,-
25,9382611,-,-,-,-,-,-
26,9590844,-,-,-,-,-,-
27,10052410,-,-,-,-,-,-
28,10441501,-,-,-,-,['Methanococcoides (7)'],-
29,10758220,-,-,-,-,-,-
30,10785502,-,-,-,-,-,-
31,12345051,-,-,-,-,-,-
32,12428390,-,-,-,-,-,-
33,12594595,['archaeon (1)'],['archaeon (1)'],['archaeon (1)'],['archaeon (1)'],"['archaeon (1)', 'Pyrobaculum (4)']",['archaeon (1)']
34,13303128,-,-,-,-,-,-
35,13438555,-,-,-,-,-,-
36,14173406,-,-,-,-,-,-
37,14369402,['Thaumarchaeota (1)'],-,-,-,-,-
38,14583627,-,-,-,-,-,-
39,14676493,-,-,-,-,-,-
40,14982203,-,-,-,-,-,-
41,15514304,-,-,-,-,-,-
42,16773456,-,-,-,-,['Methanococcoides (2)'],-
43,16888850,-,-,-,-,-,-
44,17208459,-,-,-,-,-,-
45,18110353,-,-,-,-,-,-
46,19286940,-,-,-,-,-,-
47,19304315,-,-,-,-,-,-
48,19394643,-,-,-,-,-,-
49,19646536,-,-,-,-,-,-
50,20023799,-,-,-,-,-,-
51,20382895,-,-,-,-,-,-
52,20561520,-,-,-,-,-,-
53,20646286,-,-,['Methanosarcinales (2)'],-,-,-
54,20677516,-,-,-,-,-,-
55,21490211,-,-,-,-,-,-
56,21653548,-,-,-,-,-,-
57,22078593,-,-,-,-,-,-
58,22414992,-,-,-,-,['Methanococcus (1)'],-
59,23169780,-,-,-,-,-,-
60,23583751,-,-,-,-,-,-
61,24236881,-,-,-,-,-,-
62,24389953,-,-,-,-,['Methanococcoides (1)'],-
63,24825330,-,-,-,-,-,-
64,24860900,-,-,-,-,-,-
65,24969095,-,-,-,-,-,-
66,25275226,-,-,-,-,-,-
67,25312939,-,-,-,-,-,-
68,25374479,-,-,-,-,['Methanoculleus (4)'],-
69,25614269,-,-,-,-,-,-
70,25787557,-,-,-,-,-,-
71,26654892,-,-,-,-,-,-
72,26732615,-,-,-,-,-,-
73,28363766,-,-,-,-,-,-
74,31297440,-,-,-,-,-,-
75,31592443,-,-,['Methanosarcinales (1)'],-,['Methanococcoides (1)'],-
76,31721641,-,-,-,-,-,-
77,33653187,-,-,-,-,-,-
78,33792127,-,-,-,-,-,-
79,34107345,-,-,-,-,-,-
80,34539523,-,-,-,-,-,-
81,34712783,-,-,-,-,-,-
82,35116371,-,-,-,-,-,-
83,38728909,-,-,-,-,-,-
84,40404753,-,-,-,-,-,-
85,42717529,-,-,-,-,-,-
86,45978787,-,-,-,-,-,-
87,46131370,-,-,-,-,-,-
88,46855510,-,-,-,-,-,-
89,49214293,-,-,-,-,-,-
90,52112134,-,-,-,-,-,-
91,52131258,-,-,-,-,-,-
92,53183928,-,-,-,-,-,-
93,91812618,-,-,-,-,-,-
94,195185567,-,-,-,-,-,-
95,204849492,-,-,-,-,-,-
96,205788630,-,-,-,-,-,-
97,205982792,-,-,-,-,-,-
98,206164693,-,-,-,-,-,-
99,206723511,-,-,-,-,['Methanococcoides (1)'],-
100,207696802,-,-,-,-,-,-
101,207963124,-,-,-,-,-,-
102,208279838,-,-,-,-,-,-
103,209474384,-,-,-,-,-,-
104,210195508,-,-,-,-,-,-
105,210914727,-,-,-,-,-,-
