,s2orc_id,phylum,class,order,family,genus,species
0,378075,-,-,-,-,-,-
1,423291,-,-,-,-,"['Pantoea (1)', 'Exiguobacterium (1)']",-
2,609893,-,-,-,-,-,-
3,818482,-,-,-,-,-,-
4,1587067,-,-,-,['Desulfobacteraceae (1)'],-,-
5,2118101,-,-,-,-,-,-
6,2216104,-,['Epsilonproteobacteria (2)'],-,-,"['Sulfurovum (2)', 'Arcobacter (1)', 'Sulfurimonas (1)']",-
7,2449122,-,['Gammaproteobacteria (1)'],-,-,-,-
8,2829093,-,-,-,-,-,-
9,3128887,-,-,-,-,-,-
10,3261826,-,-,-,-,-,-
11,4395526,-,-,-,-,-,-
12,4430700,-,-,-,-,-,-
13,4773405,-,-,-,-,-,-
14,4841270,-,-,-,['Desulfobacteraceae (1)'],-,-
15,4984670,-,-,-,-,-,-
16,5665855,-,-,-,-,-,-
17,6153701,-,-,-,-,-,-
18,6384919,-,-,-,-,-,-
19,7097552,-,-,-,-,-,-
20,7907279,-,-,-,-,-,-
21,8249528,-,-,-,-,-,-
22,8819857,-,-,-,-,"['Arcobacter (3)', 'Leptothrix (1)']",-
23,9277299,-,-,-,-,-,-
24,9307972,"['Proteobacteria (2)', 'Actinobacteria (1)', 'Fusobacteria (1)']","['Actinobacteria (1)', 'Deltaproteobacteria (1)']",['Desulfuromonadales (1)'],-,-,-
25,9382611,-,-,['Desulfuromonadales (1)'],-,-,-
26,9590844,-,-,-,-,-,-
27,10052410,-,-,-,-,-,-
28,10441501,-,-,-,-,-,-
29,10758220,-,-,-,-,"['Leucothrix (1)', 'Thiothrix (2)', 'Thioploca (1)', 'Beggiatoa (1)']",-
30,10785502,-,['Gammaproteobacteria (1)'],-,-,-,-
31,12345051,-,-,-,-,-,-
32,12428390,-,-,-,-,-,-
33,12594595,-,-,-,-,-,-
34,13303128,-,-,-,-,-,-
35,13438555,-,-,-,-,"['Methylobacter (1)', 'Methylophaga (1)', 'Beggiatoa (2)', 'Desulfobulbus (1)']",-
36,14173406,-,-,-,-,-,-
37,14369402,-,"['Alphaproteobacteria (1)', 'Gammaproteobacteria (1)']",['Methylococcales (1)'],['Flavobacteriaceae (1)'],-,-
38,14583627,-,-,-,-,-,-
39,14676493,['Proteobacteria (1)'],-,-,-,-,-
40,14982203,-,-,-,-,-,-
41,15514304,-,-,-,-,-,-
42,16773456,-,-,-,-,-,-
43,16888850,-,-,-,-,-,-
44,17208459,-,-,-,-,-,-
45,18110353,-,-,-,-,-,-
46,19286940,-,-,-,-,-,-
47,19304315,-,-,-,-,-,-
48,19394643,-,-,-,-,-,-
49,19646536,-,-,-,-,-,-
50,20023799,-,['Deltaproteobacteria (3)'],-,['Desulfobulbaceae (1)'],-,-
51,20382895,-,-,-,-,-,-
52,20561520,-,['Alphaproteobacteria (1)'],['Rhizobiales (2)'],['Rhodobiaceae (1)'],"['Amorphus (2)', 'Phyllobacterium (1)', 'Bauldia (1)', 'Lutibaculum (1)']",-
53,20646286,['Actinobacteria (1)'],['Actinobacteria (1)'],['Spirochaetales (1)'],-,-,-
54,20677516,-,-,-,-,-,-
55,21490211,-,-,-,-,-,-
56,21653548,-,-,-,-,-,-
57,22078593,-,-,-,-,-,-
58,22414992,-,-,-,-,-,-
59,23169780,-,['Deltaproteobacteria (1)'],-,-,['Desulfobulbus (1)'],-
