,s2orc_id,sulfate,sodium,potassium,chloride,carbonate,magnesium,calcium,copper,iron,zinc,cadmium,arsenic,lithium,boron,manganese,phosphate,ammonium,nitrite,nitrate,sulfide,methane,ethane,propane,butane,pentane,acetate,formate,pahs,argon,carbon_dioxyde,nitrogen,hydrogen,helium
0,378075,['sulfate (2)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,['phosphate (6)'],-,['nitrite (2)'],"['Nitrate (1)', 'nitrate (2)']",-,['methane (5)'],-,-,-,-,-,-,-,-,-,['nitrogen (19)'],['hydrogen (2)'],-
1,423291,-,"['sodium (3)', 'Sodium (1)']",['potassium (1)'],['chloride (1)'],['carbonate (1)'],-,-,-,"['iron (3)', 'Iron (1)']",-,-,-,-,-,-,"['Phosphate (1)', 'phosphate (3)']",-,['nitrite (1)'],"['Nitrate (1)', 'nitrate (2)']",-,['methane (1)'],-,-,-,-,-,-,-,-,-,['nitrogen (1)'],['hydrogen (1)'],-
2,818482,['sulfate (6)'],['sodium (1)'],-,['Chloride (1)'],-,['magnesium (1)'],['calcium (1)'],-,-,-,-,-,-,-,-,-,['ammonium (8)'],-,['nitrate (5)'],-,"['methane (61)', 'CH4 (1)', 'Methane (5)']",['ethane (1)'],-,-,-,-,-,-,-,['CO2 (2)'],"['nitrogen (26)', 'Nitrogen (1)']",-,-
3,1587067,['sulfate (5)'],['sodium (4)'],-,-,-,-,-,-,-,-,-,-,-,-,-,['phosphate (1)'],-,-,-,"['sulfide (6)', 'Sulfide (1)']",['methane (4)'],-,['propane (6)'],"['butane (27)', 'Butane (4)']",-,['acetate (2)'],['formate (1)'],['naphthalene (1)'],-,-,['nitrogen (2)'],-,-
4,2118101,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
5,2216104,['sulfate (4)'],-,-,-,['carbonate (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,['nitrate (1)'],['sulfide (7)'],['methane (7)'],-,-,-,-,-,-,-,-,-,-,-,-
6,2829093,-,['sodium (4)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['hydrogen (2)'],-
7,3128887,"['sulfate (16)', 'Sulfate (2)']",-,-,"['Chloride (1)', 'chloride (7)']",-,-,-,-,['iron (3)'],-,-,-,-,-,['manganese (1)'],-,-,['nitrite (1)'],['nitrate (3)'],"['sulfide (1)', 'Sulfide (1)']","['methane (70)', 'Methane (1)']",-,-,-,-,['acetate (1)'],-,-,-,-,-,-,-
8,4430700,-,-,-,"['chloride (2)', 'Chloride (1)']",-,['magnesium (1)'],-,-,-,['zinc (1)'],-,-,-,-,-,-,-,-,-,-,['methane (31)'],-,-,-,-,['acetate (1)'],-,-,-,-,-,-,-
9,4773405,-,['sodium (2)'],-,-,['carbonate (2)'],-,-,-,['iron (1)'],-,-,-,-,-,-,-,['ammonium (1)'],-,-,-,-,-,-,-,-,-,-,-,['Ar (1)'],-,['nitrogen (5)'],-,-
10,4984670,['sulfate (3)'],-,-,"['Chloride (1)', 'chloride (5)']",['carbonate (4)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['methane (20)', 'Methane (2)']",['ethane (4)'],['propane (4)'],['butane (1)'],['pentane (1)'],-,-,-,-,-,-,['hydrogen (4)'],-
11,6153701,-,-,-,-,['carbonate (2)'],-,-,-,-,-,-,-,-,-,-,['phosphate (2)'],-,-,-,-,"['methane (10)', 'Methane (1)']",-,-,-,-,-,-,-,-,-,-,-,-
12,6384919,['sulfate (6)'],-,-,-,-,-,-,-,-,['zinc (2)'],-,-,-,-,-,-,-,-,-,['sulfide (11)'],['methane (24)'],['ethane (1)'],['propane (1)'],-,-,['acetate (9)'],['formate (8)'],-,-,-,"['nitrogen (2)', 'Nitrogen (1)']","['hydrogen (6)', 'Hydrogen (1)']",-
13,7097552,-,-,-,['chloride (7)'],['carbonate (1)'],-,-,-,['Fe(III (2)'],['zinc (2)'],-,-,-,-,['Mn(IV (1)'],-,-,-,-,-,"['methane (38)', 'Methane (1)']",-,-,-,-,"['acetate (10)', 'Acetate (1)']",-,-,-,-,-,['hydrogen (4)'],-
14,7907279,-,-,-,-,"['carbonate (7)', 'Carbonate (1)']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (4)'],-,-,-,-,-,-,-,-,-,-,['hydrogen (1)'],-
15,8249528,-,-,-,-,['carbonate (19)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['methane (8)', 'Methane (2)']",-,-,-,-,-,-,-,-,-,-,-,-
16,8819857,"['Sulfate (2)', 'sulfate (7)']",-,-,-,-,-,-,-,"['Fe(III (16)', 'Fe(II (16)', 'iron (4)']",['zinc (1)'],-,-,-,-,"['Mn(II (1)', 'Mn(IV (1)']",-,-,-,['nitrate (2)'],"['sulfide (27)', 'Sulfide (2)']","['Methane (2)', 'methane (11)']",-,-,-,-,['acetate (1)'],-,-,-,-,-,-,-
17,9277299,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (1)'],-,-,-,-,-,['formate (2)'],-,-,-,-,-,-
18,9382611,['sulfate (22)'],['sodium (1)'],-,"['chloride (2)', 'Chloride (1)']",-,-,-,-,"['iron (11)', 'Fe(III (3)', 'Fe(II (1)']",-,-,-,-,-,"['manganese (4)', 'Mn(II (1)', 'Mn(IV (1)']",-,['ammonium (1)'],['nitrite (2)'],['nitrate (11)'],['sulfide (1)'],"['methane (62)', 'Methane (4)']",-,-,-,-,['acetate (6)'],['formate (1)'],-,-,-,['nitrogen (8)'],['hydrogen (1)'],['He (1)']
19,10052410,"['sulfate (8)', 'Sulfate (2)']",-,-,['chloride (2)'],"['carbonate (10)', 'Carbonate (2)']",-,-,-,['iron (1)'],"['zinc (1)', 'Zinc (3)']",-,-,-,-,-,-,-,-,-,['sulfide (12)'],['methane (3)'],-,-,-,-,-,-,-,-,-,['nitrogen (1)'],['hydrogen (4)'],['he (1)']
20,10441501,['sulfate (2)'],['sodium (1)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['sulfide (2)'],['methane (1)'],-,-,-,-,['acetate (7)'],['formate (4)'],-,-,-,['nitrogen (3)'],"['hydrogen (3)', 'Hydrogen (2)']",-
21,12345051,-,-,-,['chloride (1)'],"['carbonate (4)', 'Carbonate (1)']",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['methane (4)'],-,-,-,-,-,-,-,-,-,-,['Hydrogen (1)'],-
22,12594595,['sulfate (3)'],['sodium (3)'],-,-,-,-,-,-,"['Fe(III (7)', 'iron (2)']",-,-,-,-,-,-,-,-,-,['nitrate (4)'],['sulfide (2)'],-,-,-,-,-,['acetate (2)'],-,-,-,-,-,-,-
23,13438555,['sulfate (8)'],['sodium (4)'],-,['chloride (2)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['sulfide (2)', 'Sulfide (2)']","['methane (19)', 'METHANE (4)']",-,-,-,-,-,-,-,-,-,-,-,-
24,14369402,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,['ammonium (1)'],['nitrite (2)'],-,['sulfide (1)'],['methane (1)'],-,-,-,-,-,-,-,-,-,"['nitrogen (3)', 'N2 (1)']",['Hydrogen (1)'],-
25,14583627,['sulfate (15)'],-,-,['chloride (2)'],-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"['sulfide (8)', 'Sulfide (1)']",['methane (29)'],-,-,-,-,-,-,-,-,-,-,['hydrogen (1)'],['helium (1)']
26,14982203,"['sulfate (24)', 'Sulfate (1)']",['sodium (2)'],-,-,['carbonate (1)'],-,-,-,-,-,-,-,-,-,-,['phosphate (1)'],['ammonium (2)'],['nitrite (1)'],['nitrate (3)'],"['sulfide (27)', 'Sulfide (1)']",['methane (22)'],-,-,-,-,['acetate (1)'],-,-,-,-,-,['hydrogen (2)'],-
27,15514304,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
