,s2orc_id,geo_time,minerals
0,378075,-,-
1,423291,-,-
2,818482,-,-
3,1587067,-,-
4,2118101,-,-
5,2216104,-,-
6,2829093,-,-
7,3128887,-,-
8,4430700,['Pleistocene (1)'],-
9,4773405,-,-
10,4984670,"['Miocene (2)', 'Pleistocene (1)', 'Pliocene (1)', 'Cretaceous (2)']",['illite (1)']
11,6153701,-,-
12,6384919,['Miocene (1)'],['quartz (2)']
13,7097552,-,-
14,7907279,-,-
15,8249528,-,-
16,8819857,-,['pyrite (2)']
17,9277299,-,-
18,9382611,-,-
19,10052410,-,['calcite (1)']
20,10441501,-,-
21,12345051,-,-
22,12594595,-,-
23,13438555,-,-
24,14369402,-,-
25,14583627,-,-
26,14982203,-,-
27,15514304,-,-
28,16773456,-,-
29,16888850,-,-
30,17208459,['Cretaceous (1)'],-
31,18110353,-,-
32,19286940,-,-
33,19304315,-,['pyrite (1)']
34,19394643,-,-
35,19646536,"['Miocene (2)', 'Paleocene (1)', 'Eocene (1)']",['pyrite (1)']
36,20023799,-,-
37,21490211,['Eocene (1)'],-
38,22414992,['Miocene (1)'],-
39,24389953,-,-
40,26654892,-,-
41,31592443,-,-
42,34107345,-,-
43,35116371,-,-
44,38728909,-,-
45,42717529,-,-
46,46855510,-,-
47,49214293,['Miocene (4)'],-
48,52112134,-,-
49,52131258,-,"['pyrite (9)', 'Pyrite (2)']"
50,195185567,-,['illite (1)']
51,206164693,-,-
52,206723511,-,-
53,207696802,-,-
54,208279838,-,-
55,210195508,-,"['Illite (1)', 'illite (3)', 'Kaolinite (1)']"
56,210914727,-,"['quartz (1)', 'calcite (1)', 'muscovite (1)', 'feldspar (1)']"
57,214827724,['Eocene (1)'],-
58,214917229,-,-
59,214924177,-,-
60,215035312,-,-
61,215076876,"['Miocene (2)', 'Paleocene (1)', 'Eocene (1)']",['pyrite (1)']
62,215124414,-,-
63,215213250,-,-
64,215265781,-,['illite (1)']
65,215379686,-,-
